host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price,distance_to_city_center,review_duration,email,phone,reviews,jumio,Long term stays allowed,Wifi,Essentials,Smoke alarm,avg_price_per_bedroom,mapped_property_type,mapped_bathrooms,mapped_room_type,response_time,neighbourhood_encoded
Uno,2017-05-31,"Campsie, New South Wales, Australia",1.0,0.95,0,3.0,1,1,3,1,2,90,1125,90,90,1125,1125,90,1125,1,28,58,88,178,6,2,0,3.5,3.83,2.67,5.0,4.67,4.5,3.33,1,2,0,1,0,0.24,130.0,1.4732267349969645,515.0,1,1,1,0,1,1,1,1,138.02608522069195,3,6,3,4,32
Min,2016-11-23,"New South Wales, Australia",1.0,0.2,0,0.0,1,1,5,2,3,90,1125,90,90,1125,1125,90,1125,1,0,5,35,310,17,0,0,4.31,4.38,4.13,4.81,4.88,4.94,4.25,0,1,1,0,0,0.66,135.0,20.412920798167594,207.0,1,1,0,0,1,1,1,1,67.36219020959923,4,3,4,3,24
Gabriel HH,2016-10-24,"Sydney, New South Wales, Australia",1.0,1.0,0,40.0,1,1,4,1,2,5,180,1,5,180,180,4,180,1,6,21,50,104,44,34,3,4.61,4.73,4.57,4.93,4.8,5.0,4.64,1,40,40,0,0,1.81,227.0,6.461623912134382,723.0,1,1,1,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Brian,2014-08-24,"North Bondi, New South Wales, Australia",1.0,0.98,1,0.0,1,1,4,2,2,3,1125,2,14,1125,1125,10,1125,1,0,3,5,164,40,33,3,4.98,4.98,4.98,5.0,5.0,4.95,4.95,1,3,3,0,0,2.0,320.0,6.491135261081712,584.0,1,1,1,1,1,0,1,1,183.21820800371313,4,6,4,4,35
Julia,2015-08-11,"Sydney, New South Wales, Australia",0.9,0.38,0,49.0,1,1,4,2,2,7,1125,7,7,1125,1125,7,1125,1,11,31,42,132,1,0,0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0,47,47,0,0,0.04,835.0,2.935606129736023,0.0,1,1,1,1,1,1,0,0,198.09007603821408,4,6,4,4,37
Andrew,2016-02-15,"Freshwater, New South Wales, Australia",1.0,1.0,0,0.0,1,1,9,4,5,5,42,5,5,42,42,5,42,1,15,28,29,29,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.09,1850.0,12.698121106256753,65.0,1,1,0,1,1,0,1,1,157.98023595334942,5,3,4,2,34
John,2013-03-05,"Sydney, New South Wales, Australia",1.0,0.87,1,1.0,1,1,3,1,1,2,1125,2,2,1125,1125,2,1125,1,6,9,35,215,44,22,1,4.89,4.98,4.86,4.93,4.98,4.98,4.89,0,1,1,0,0,1.72,214.0,1.4449570117964778,764.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,2,32
Bondi Beach Holiday Homes,2010-04-26,"Tamarama, New South Wales, Australia",0.96,0.86,0,58.0,1,1,4,2,2,7,1125,60,90,999,999,86,999,1,0,0,26,185,6,0,0,4.5,4.17,4.83,4.5,4.67,5.0,4.67,1,54,54,0,0,0.26,200.0,1.7777382153805341,188.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,3,32
Andong,2016-12-05,"Arncliffe, New South Wales, Australia",0.33,1.0,0,1.0,1,0,1,1,1,90,1125,90,90,1125,1125,90,1125,1,29,59,89,179,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,0,2,0,0.16,50.0,9.331008193522758,23.0,1,1,0,1,1,1,1,1,75.42923051573571,2,4,3,1,28
Amy,2018-02-06,"Summer Hill, New South Wales, Australia",1.0,0.67,0,1.0,1,1,4,1,4,90,90,5,90,90,90,75,90,1,14,19,49,139,19,2,0,4.95,4.95,4.95,5.0,5.0,5.0,4.89,0,1,1,0,0,0.75,300.0,7.121877221500757,517.0,1,1,0,0,1,1,1,1,68.52813852813853,4,6,4,2,0
L'Abode Accommodation Specialist,2013-07-10,"Greens Beach, Tasmania, Australia",0.99,0.97,0,163.0,1,1,4,2,1,2,1125,2,7,1125,1125,3,1125,1,13,28,28,91,3,0,0,4.33,4.0,4.67,5.0,4.33,5.0,4.67,1,109,109,0,0,0.12,409.0,4.836333999664787,185.0,1,1,1,1,1,1,1,1,198.09007603821408,4,3,4,4,37
Colleen,2018-08-15,"Leichhardt, New South Wales, Australia",1.0,1.0,1,0.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,3,9,34,124,44,18,5,4.89,5.0,4.93,4.98,4.98,4.77,4.84,1,1,1,0,0,1.72,78.0,5.777916772133172,763.0,0,1,0,0,1,1,1,1,117.31939891873483,5,6,4,4,18
MaisonNets,2019-09-09,"Sydney, New South Wales, Australia",1.0,0.97,0,17.0,1,1,4,2,3,2,365,2,5,365,365,2,365,1,5,23,36,308,21,12,1,4.57,4.71,4.48,4.81,4.71,4.81,4.48,1,21,21,0,0,0.85,187.0,4.3877585503697105,728.0,0,1,0,1,1,1,1,1,198.09007603821408,4,6,4,4,37
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,5,1125,5,5,1125,1125,5,1125,1,12,19,19,19,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,22,22,0,0,0.06,160.0,0.6156860535080281,0.0,1,1,0,1,1,1,0,1,138.02608522069195,4,6,4,2,32
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,4,1125,4,4,1125,1125,4,1125,1,20,29,36,36,1,1,0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,1,22,22,0,0,0.09,175.0,0.5772664989031412,0.0,1,1,0,1,1,1,1,1,138.02608522069195,4,6,4,2,32
Sydney Harbour,2018-06-25,"Sydney, New South Wales, Australia",1.0,1.0,0,6.0,1,1,5,1,4,90,1125,1,90,14,1125,14,184,1,17,43,71,339,9,3,0,4.67,4.78,4.67,4.67,4.78,4.89,4.78,1,2,0,2,0,0.36,185.0,1.0198570596966108,525.0,1,1,0,0,1,1,1,1,138.02608522069195,2,4,3,4,32
Sydney Harbour,2018-06-25,"Sydney, New South Wales, Australia",1.0,1.0,0,6.0,1,1,2,1,1,90,1125,1,90,14,1125,42,529,1,22,52,82,357,32,11,1,4.75,4.78,4.81,4.81,4.84,5.0,4.63,1,2,0,2,0,1.29,162.0,1.0198570596966108,729.0,1,1,0,0,1,1,1,1,138.02608522069195,2,5,3,4,32
Hotel Ravesis,2019-02-12,AU,1.0,0.98,0,10.0,1,1,2,1,1,1,1125,1,2,1125,1125,1,1125,1,3,18,37,247,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,1,1,0,0.1,524.0,6.5484238076388355,356.0,1,1,0,0,1,1,1,1,183.21820800371313,3,6,3,4,35
Steve,2016-08-01,"Castlecrag, New South Wales, Australia",1.0,1.0,1,0.0,1,1,6,2,6,1,1125,1,1,1125,1125,1,1125,1,0,0,0,43,23,13,1,4.91,4.91,4.91,4.74,4.91,4.91,4.65,0,1,1,0,0,0.92,168.0,7.467144828124792,733.0,1,1,1,1,1,1,1,1,100.7890625,5,3,4,4,36
Don & Rachel,2019-10-31,AU,1.0,0.89,0,0.0,1,0,2,1,1,90,1125,90,90,1125,1125,90,1125,1,29,59,89,89,10,1,0,4.7,4.8,3.6,4.6,4.8,4.9,4.6,0,2,0,2,0,0.4,55.0,5.669711112207395,572.0,1,1,0,0,1,1,1,1,130.27651821862347,2,2,3,2,17
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,90,1125,90,90,1125,1125,90,1125,1,5,35,65,66,3,2,0,5.0,5.0,4.67,4.33,4.67,5.0,4.67,1,22,22,0,0,0.14,156.0,3.6664920670620726,434.0,1,1,0,1,1,1,0,1,153.45101102941177,4,6,4,2,23
Trish,2014-04-04,"Clareville, New South Wales, Australia",1.0,0.96,0,0.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,1,31,61,61,29,13,3,4.76,4.93,4.66,5.0,4.97,4.9,4.83,1,1,0,1,0,1.18,120.0,28.91652786669314,718.0,1,1,0,1,1,1,1,0,255.97059136060957,2,5,3,4,26
Sammy,2015-09-26,"Crows Nest, New South Wales, Australia",0.0,0.8164300559552359,0,1.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,30,60,90,270,1,0,0,0.0,4.75458762886598,4.658408421672555,4.841571197172729,4.841825677267374,4.842272459499264,4.643321549565474,1,2,2,0,0,0.04,350.0,7.047088514289233,0.0,1,1,1,1,1,1,1,1,100.7890625,5,6,4,1,36
Lesley,2018-01-04,"Freshwater, New South Wales, Australia",1.0,0.79,1,0.0,1,1,6,2,6,3,28,2,4,28,28,2,28,1,12,35,62,337,16,4,0,4.94,4.88,5.0,5.0,5.0,4.94,4.75,0,1,1,0,0,0.72,389.0,11.920722683319916,497.0,1,1,1,0,1,1,1,1,157.98023595334942,4,6,4,3,34
Aurelie,2015-03-06,Australia,1.0,0.0,0,2.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,1,1,0,0.04,190.0,8.926502871853717,0.0,1,1,1,1,1,1,1,1,75.42923051573571,4,3,4,4,28
Rodd,2019-09-17,AU,0.33,0.73,0,1.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,0,5,12,260,22,6,0,4.55,4.82,4.5,4.77,4.82,4.73,4.45,0,1,0,1,0,0.9,82.0,3.5384982939650977,439.0,1,1,0,1,1,1,1,1,138.02608522069195,2,5,3,1,32
Contemporary Hotels,2012-07-24,"Sydney, New South Wales, Australia",0.97,0.46,1,64.0,1,1,8,4,5,2,99,2,7,99,365,2,137,1,11,27,37,186,4,2,0,4.75,4.75,4.5,5.0,4.75,5.0,5.0,0,19,19,0,0,0.32,3000.0,30.188346951122153,161.0,1,1,1,1,1,1,1,1,255.97059136060957,5,3,4,3,26
Riannon,2015-10-06,AU,1.0,0.98,1,1.0,1,1,8,3,5,2,1125,2,2,1125,1125,2,1125,1,0,19,49,126,4,4,0,5.0,5.0,4.75,5.0,5.0,5.0,4.75,1,1,1,0,0,0.81,164.0,51.96998007200338,80.0,1,1,1,1,1,1,1,1,98.00111073137388,5,3,4,4,25
John,2014-09-09,"Potts Point, New South Wales, Australia",1.0,1.0,0,22.0,1,1,3,1,2,7,1125,7,7,1125,1125,7,1125,1,9,28,58,58,9,2,0,4.44,4.56,4.78,5.0,4.89,4.89,4.56,1,22,22,0,0,0.36,150.0,1.3389938004936766,674.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Sarah,2017-07-21,"Woollahra, New South Wales, Australia",1.0,1.0,0,0.0,1,1,4,2,1,90,1125,90,90,1125,1125,90,1125,1,29,59,89,179,15,4,0,4.8,4.6,4.93,4.8,4.73,4.93,4.53,1,2,0,2,0,0.6,85.0,4.14607115894555,555.0,1,1,1,0,1,1,1,1,198.09007603821408,2,6,4,4,37
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,90,1125,7,90,1125,1125,85,1125,1,0,0,30,30,3,1,0,3.67,4.67,4.67,4.67,3.67,5.0,3.67,1,22,22,0,0,0.13,150.0,0.6309198404895972,355.0,1,1,0,1,1,1,0,1,138.02608522069195,4,6,4,2,32
Lana,2015-12-11,"Sydney, New South Wales, Australia",1.0,0.4,0,2.0,1,1,2,1,1,90,1125,90,90,1125,1125,90,1125,1,30,60,90,365,6,2,0,4.83,5.0,4.83,5.0,5.0,5.0,5.0,0,1,0,1,0,0.25,35.0,18.709631161135917,472.0,1,1,1,0,1,1,0,1,114.50185185185185,2,4,3,4,33
Simon,2015-01-04,"Sydney, New South Wales, Australia",1.0,0.97,1,5.0,1,1,1,1,1,3,28,3,3,1125,1125,3,1125,1,17,30,60,60,3,0,0,5.0,4.67,5.0,5.0,5.0,5.0,5.0,0,5,0,5,0,0.12,70.0,2.307298123108273,63.0,1,1,1,1,1,1,1,1,138.02608522069195,2,4,3,4,32
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,4,1125,4,4,1125,1125,4,1125,1,22,52,82,82,6,2,0,4.0,4.33,4.33,4.17,4.67,4.83,4.17,1,22,22,0,0,0.28,182.0,1.601083396323096,379.0,1,1,0,1,1,1,1,1,138.02608522069195,4,6,4,2,32
Karen,2015-02-04,"Sydney, New South Wales, Australia",1.0,0.92,1,0.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,2,2,12,29,23,6,0,5.0,5.0,5.0,5.0,5.0,4.96,4.91,0,1,1,0,0,0.92,126.0,19.438215030416924,708.0,1,1,1,1,1,0,1,1,255.97059136060957,4,6,4,4,26
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,5,1125,5,5,1125,1125,5,1125,1,0,0,0,0,5,0,0,4.8,4.8,5.0,4.4,4.6,5.0,4.4,1,22,22,0,0,0.21,185.0,0.8862812393751522,87.0,1,1,0,1,1,1,0,1,138.02608522069195,4,6,4,2,32
Ruth,2013-08-10,"Bondi Beach, New South Wales, Australia",1.0,0.88,1,2.0,1,1,2,1,2,3,30,3,3,30,30,3,30,1,0,0,7,7,13,0,0,4.85,4.85,4.77,5.0,5.0,5.0,4.69,0,2,2,0,0,0.55,200.0,6.605200328900441,78.0,1,1,1,1,1,1,1,1,183.21820800371313,5,6,4,3,35
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,5,1125,5,5,1125,1125,5,1125,1,0,3,33,33,4,2,0,4.75,4.75,5.0,4.5,4.5,5.0,4.75,1,22,22,0,0,0.19,185.0,0.6879735081786775,378.0,1,1,0,1,1,1,0,1,138.02608522069195,4,6,4,2,32
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,2,1,1,90,1125,7,90,1125,1125,82,1125,1,0,3,26,26,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,22,22,0,0,0.06,185.0,0.8967610700485025,0.0,1,1,0,1,1,1,0,1,138.02608522069195,4,6,4,2,32
Apartments Plus,2018-11-21,AU,0.73,0.89,0,41.0,1,1,4,2,2,7,1125,5,7,1125,1125,7,1125,1,4,29,29,29,2,0,0,4.5,4.5,4.5,4.5,4.5,4.5,4.0,1,22,22,0,0,0.09,200.0,1.1565992133430958,176.0,1,1,0,1,1,1,1,1,138.02608522069195,4,6,4,2,32
Yolanda,2015-11-17,"Gladesville, New South Wales, Australia",1.0,0.63,0,1.0,1,1,2,1,1,90,1125,90,90,1125,1125,90,1125,1,29,59,89,364,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0.39,68.0,6.933185664593949,20.0,1,1,1,1,1,1,1,1,100.7890625,2,6,3,2,36
Lisa,2018-01-13,"Clareville, New South Wales, Australia",1.0,0.98,1,1.0,1,1,2,1,1,2,1125,2,2,1125,1125,2,1125,1,9,23,30,210,78,25,1,4.86,4.96,4.87,4.99,4.96,4.95,4.9,0,1,1,0,0,3.11,94.0,28.669489530429143,741.0,1,1,0,1,1,1,1,1,255.97059136060957,5,6,4,4,26
Gloria,2018-12-14,"Avalon Beach, New South Wales, Australia",1.0,1.0,0,0.0,1,1,10,5,5,7,1125,7,7,1125,1125,7,1125,1,4,19,19,19,5,2,0,4.8,5.0,5.0,4.6,5.0,5.0,4.8,0,1,1,0,0,0.21,1500.0,28.940677918153806,451.0,1,1,0,1,1,1,1,1,255.97059136060957,5,3,4,4,26
Alice,2014-04-08,"Sydney, New South Wales, Australia",1.0,1.0,0,1.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,0,0,0,0,3,1,0,4.67,4.67,4.33,4.67,4.67,4.67,4.33,1,1,1,0,0,0.13,175.0,10.526094434787595,525.0,1,1,1,1,1,1,1,1,192.27598747261771,4,6,4,4,20
Bob,2019-11-06,"Orange, New South Wales, Australia",1.0,0.94,0,0.0,1,1,5,2,4,2,365,2,4,1125,1125,3,1125,1,1,14,44,317,32,22,3,4.56,4.69,4.41,4.72,4.63,4.72,4.69,0,1,1,0,0,1.35,232.0,6.964173484881616,699.0,1,1,0,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Catherine,2019-11-06,AU,1.0,1.0,0,0.0,1,1,3,2,2,14,36,14,14,36,36,14,36,1,3,19,19,19,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,0,0,0.04,295.0,12.01957745531049,0.0,1,1,0,1,1,1,1,1,157.98023595334942,4,6,4,2,34
Greg,2012-08-18,"Randwick, New South Wales, Australia",1.0,0.9,1,0.0,1,1,6,1,4,2,1125,2,3,1125,1125,2,1125,1,8,25,51,115,24,14,2,4.96,5.0,4.96,5.0,5.0,5.0,4.92,0,1,1,0,0,1.0,304.0,6.860563970565614,710.0,1,1,1,1,1,1,1,1,135.26623842867315,5,6,4,3,27
J,2018-07-02,AU,1.0,0.85,1,0.0,1,1,8,4,4,15,90,15,15,90,90,15,90,1,5,5,5,90,15,8,1,5.0,4.93,4.87,4.93,5.0,5.0,4.93,0,1,1,0,0,0.61,190.0,26.684535360500853,725.0,0,1,0,1,1,1,1,1,114.50185185185185,5,3,4,4,33
Michelle,2018-11-05,Australia,1.0,0.8,1,3.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,0,29,59,239,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3,1,2,0,0.08,150.0,9.505853575225219,77.0,0,1,0,0,1,1,0,0,75.42923051573571,4,3,4,3,28
Joanne,2018-11-18,"Manly, New South Wales, Australia",1.0,0.67,0,2.0,1,1,4,2,2,2,1125,2,2,1125,1125,2,1125,1,0,5,35,125,3,2,0,4.67,4.67,4.67,5.0,5.0,5.0,4.67,0,2,2,0,0,0.18,450.0,10.297139176308557,332.0,1,1,0,0,1,1,1,1,192.27598747261771,4,6,4,4,20
Kevin,2019-06-01,"Saint Ives Chase, New South Wales, Australia",1.0,0.79,0,2.0,1,1,4,2,3,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,15,12,0,4.47,4.6,4.67,4.87,5.0,4.87,4.53,0,5,5,0,0,0.61,115.0,5.281011675970506,564.0,1,1,0,1,1,0,0,1,153.45101102941177,4,6,4,3,23
Paul,2018-09-19,"Darlinghurst, New South Wales, Australia",1.0,1.0,1,11.0,1,1,2,1,1,4,1125,3,7,1125,1125,5,1125,1,1,25,55,93,38,18,3,4.79,4.87,4.76,4.95,5.0,4.92,4.79,0,10,10,0,0,1.55,96.0,1.4479897634626542,713.0,1,1,0,0,1,1,1,1,138.02608522069195,4,6,4,3,32
Flora,2016-07-01,"New South Wales, Australia",1.0,0.99,1,1.0,1,1,2,1,1,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,24,4,1,4.96,5.0,5.0,5.0,5.0,4.92,4.92,0,2,0,2,0,0.97,79.0,4.837350169283102,715.0,1,1,1,1,1,1,1,1,138.02608522069195,2,6,3,4,38
First Hand,2018-01-10,"Tamarama, New South Wales, Australia",0.93,0.88,0,8.0,1,1,2,1,1,90,1125,90,90,1125,1125,90,1125,1,0,8,38,123,3,0,0,5.0,5.0,5.0,4.67,5.0,5.0,4.67,0,49,49,0,0,0.13,200.0,9.638842878001395,91.0,1,1,1,1,1,1,1,1,135.26623842867315,4,6,4,4,27
Stephen,2018-12-22,"Surry Hills, New South Wales, Australia",1.0,0.96,1,1.0,1,1,5,2,3,2,1125,2,2,1125,1125,2,1125,1,5,21,48,312,64,31,5,4.98,5.0,4.98,4.98,5.0,4.98,4.92,0,2,2,0,0,2.65,361.0,1.0978991607112543,721.0,1,1,0,1,1,1,1,1,138.02608522069195,5,6,4,4,32
Shirley,2016-09-04,"Strathfield, New South Wales, Australia",1.0,1.0,1,5.0,1,1,8,3,6,5,1125,5,5,5,1125,5,890,1,10,40,70,136,12,1,0,4.92,5.0,4.83,4.92,5.0,5.0,4.83,0,4,4,0,0,0.49,360.0,10.481600823546732,377.0,1,1,1,1,1,1,1,1,86.30045662100457,4,3,4,4,5
Cushie - Concierge Services,2016-09-15,"Avalon Beach, New South Wales, Australia",0.83,0.76,0,41.0,1,1,8,4,4,90,1125,90,90,1125,1125,90,1125,1,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,33,33,0,0,0.04,800.0,13.760914354233433,0.0,1,1,1,0,1,1,1,1,157.98023595334942,5,3,4,2,34
Kady,2014-06-29,"Miami, Florida, United States",0.0,0.38,0,1.0,1,1,4,2,2,90,1125,90,90,1125,1125,90,1125,1,24,42,42,168,7,2,0,4.5,4.25,4.5,5.0,4.75,4.75,4.0,0,2,1,1,0,0.28,314.0,10.02483775417198,506.0,1,1,1,1,1,1,1,1,135.26623842867315,4,6,4,1,27
Frances And Mena,2018-03-24,"Luddenham, New South Wales, Australia",1.0,0.96,0,4.0,1,1,7,2,3,1,1125,1,1,1125,1125,1,1125,1,1,16,45,296,60,40,5,4.6,4.75,4.65,4.65,4.83,4.75,4.73,0,3,3,0,0,2.41,123.0,47.95123056967158,740.0,1,1,0,1,1,1,1,1,98.00111073137388,4,3,4,4,25
Luke,2015-11-10,"Marrickville, New South Wales, Australia",1.0,1.0,0,0.0,1,1,4,1,2,90,365,90,90,1125,1125,90,1125,1,30,60,90,365,5,0,0,4.4,4.8,4.8,4.2,4.2,4.8,4.0,0,1,1,0,0,0.2,182.0,7.582912500606367,231.0,1,1,1,1,1,1,1,1,93.51619733735731,4,6,4,3,21
Glen,2019-11-10,AU,1.0,0.92,1,0.0,1,1,2,1,1,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,16,3,1,4.94,4.88,4.94,4.94,5.0,4.88,4.88,1,1,1,0,0,0.66,145.0,4.9363532466104605,728.0,1,1,0,1,1,1,1,1,183.21820800371313,5,6,4,4,35
Ocean,2018-12-10,"Revesby, New South Wales, Australia",1.0,1.0,1,9.0,1,1,3,1,2,2,1125,2,2,1125,1125,2,1125,1,9,20,44,311,43,21,2,4.7,4.81,4.77,4.91,4.91,4.79,4.72,1,2,2,0,0,1.72,108.0,19.249046284089896,745.0,1,1,0,0,1,1,1,1,65.60103896103895,5,6,4,4,2
Zheng (Janet) Qi,2014-02-02,"Sydney, New South Wales, Australia",1.0,1.0,0,2.0,1,1,4,1,2,2,1125,1,3,1125,1125,2,1125,1,3,26,56,56,68,40,5,4.74,4.76,4.84,4.68,4.84,4.87,4.78,1,1,1,0,0,2.73,116.0,13.227867735653666,746.0,1,1,0,1,1,1,1,1,103.1286317058469,4,6,4,4,1
Julie,2015-02-05,"Sydney, New South Wales, Australia",1.0,0.99,0,15.0,1,1,3,1,2,4,200,4,28,1125,1125,15,1125,1,0,5,35,303,16,8,0,5.0,4.94,4.75,5.0,5.0,5.0,4.81,1,15,9,6,0,0.64,169.0,1.4981799885970455,683.0,1,1,1,1,1,1,1,1,138.02608522069195,4,6,4,4,32
Rick,2019-08-13,"Vaucluse, New South Wales, Australia",1.0,0.96,0,13.0,1,1,3,1,2,2,28,2,3,28,28,2,28,1,4,24,47,47,16,13,1,4.44,4.5,4.69,5.0,5.0,5.0,4.44,0,7,7,0,0,0.67,214.0,6.3810022096134595,710.0,1,1,0,1,1,1,1,1,183.21820800371313,4,6,4,4,35
Hotelesque,2012-05-23,"Sydney, New South Wales, Australia",0.97,0.85,0,81.0,1,1,4,2,2,5,1125,5,10,1125,1125,5,1125,1,5,18,43,301,4,2,1,4.5,4.75,4.75,4.0,3.75,5.0,4.25,0,79,79,0,0,0.18,300.0,2.4246048399226905,632.0,1,1,1,1,1,1,1,1,138.02608522069195,5,6,4,3,32
Susan,2016-09-06,"Sydney, New South Wales, Australia",1.0,0.98,1,0.0,1,1,4,2,2,1,46,2,2,45,45,2,45,1,3,13,31,112,46,16,3,4.74,4.83,4.78,4.98,4.91,4.98,4.71,1,1,1,0,0,1.9,254.0,10.404013410038006,721.0,1,1,0,0,1,1,1,1,192.27598747261771,4,6,4,4,20
Jye,2017-07-01,"Sydney, New South Wales, Australia",0.0,0.8164300559552359,0,2.0,1,1,2,1,1,90,1125,90,90,1125,1125,90,1125,1,0,0,0,0,1,0,0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1,1,1,0,0,0.04,250.0,1.9727103384193319,0.0,1,1,0,1,1,1,1,1,138.02608522069195,4,6,4,1,32
Cecilia,2014-07-23,"New South Wales, Australia",1.0,1.0,1,0.0,1,1,8,5,6,14,1125,14,14,1125,1125,14,1125,1,4,24,54,144,5,1,0,4.6,4.2,4.6,4.8,4.8,5.0,4.2,0,1,1,0,0,0.21,402.0,4.102788978722102,373.0,1,1,0,1,1,1,1,1,138.02608522069195,5,3,4,3,38
Tristan,2016-10-05,"Greenhills Beach, New South Wales, Australia",1.0,0.9,1,1.0,1,1,4,2,3,90,1125,90,90,1125,1125,90,1125,1,23,53,83,173,52,19,0,4.88,4.81,4.85,4.98,4.98,5.0,4.77,0,2,2,0,0,2.07,178.0,21.589541317697254,588.0,0,1,0,1,1,1,1,1,138.67108953095203,4,6,4,2,31
Guilherme,2019-11-13,AU,1.0,0.8,0,0.0,1,0,5,2,2,3,1125,3,3,1125,1125,3,1125,1,7,16,16,16,2,1,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1,1,1,0,0,0.08,100.0,9.5532497962758,378.0,0,1,0,0,1,1,1,1,135.26623842867315,4,6,4,3,27
Tristan,2016-10-05,"Greenhills Beach, New South Wales, Australia",1.0,0.9,1,1.0,1,1,4,2,3,90,1125,90,90,1125,1125,90,1125,1,0,0,0,68,14,14,0,5.0,5.0,5.0,5.0,5.0,5.0,4.93,0,2,2,0,0,1.54,187.0,21.63525051713086,117.0,0,1,0,1,1,1,1,0,138.67108953095203,4,6,4,2,31
L'Abode Accommodation Specialist,2013-07-10,"Greens Beach, Tasmania, Australia",0.99,0.97,0,163.0,1,1,6,2,3,1,1125,2,7,1125,1125,3,1125,1,9,15,45,304,3,0,0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,1,109,109,0,0,0.23,409.0,7.0174193706317585,18.0,1,1,1,1,1,1,1,1,135.26623842867315,4,3,4,4,27
Marie,2016-08-21,"Bronte, New South Wales, Australia",1.0,1.0,1,0.0,1,1,4,2,2,4,1125,4,4,1125,1125,4,1125,1,2,11,36,132,32,12,3,4.94,4.97,4.75,5.0,5.0,5.0,4.84,0,1,1,0,0,1.62,399.0,6.614247783145938,588.0,1,1,0,1,1,1,1,1,183.21820800371313,4,3,4,4,35
Zara Tower Hotel,2016-08-26,AU,1.0,0.99,0,25.0,1,1,2,1,1,1,1125,1,1,999,999,1,999,1,19,49,79,354,37,16,2,4.59,4.62,4.84,4.62,4.59,4.73,4.35,1,24,24,0,0,1.51,328.0,1.1423304668231153,707.0,1,1,1,0,1,1,1,1,138.02608522069195,3,6,4,4,32
Zara Tower Hotel,2016-08-26,AU,1.0,0.99,0,25.0,1,1,2,1,1,1,1125,1,1,999,999,1,999,1,19,49,79,354,1,0,0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1,24,24,0,0,0.06,328.0,1.1423304668231153,0.0,1,1,1,0,1,1,1,1,138.02608522069195,3,6,4,4,32
